gene,log2FC,pvalue,mean_OHT,mean_SHAM,padj
Vxn,0.1538868520855385,0.7367412202366661,81.29460626999999,72.96850026333333,0.8970944935358205
Unc79,2.992730956043088,0.7368108305646014,101.479875645,11.874690659,0.8971093700385796
Atxn1,0.582534103877169,0.7368198396767744,1110.8668098333333,741.4932803666667,0.8970504645211981
Pgam5,-0.01913722541774157,0.737070348193487,764.3265326333334,774.5461545,0.8972855617299373
Msx1,-0.45470950490314005,0.7370827520183887,10.250531585666666,14.41893024,0.8972307839575916
Tpd52l1,-0.41046904702177456,0.7371552403093287,8.418976229,11.518929574333333,0.897249148207064
Taco1os,0.4756868603242974,0.7371958617862173,22.726076795666668,16.061999240000002,0.8972287250315629
Htra2,-0.04745774726081003,0.7372404384799706,1547.1923641,1598.9673733333336,0.8972131184895997
Osbp,-0.10058492235239264,0.7372733480316547,99.24000891333333,106.47814825333334,0.8971833167055503
Ranbp3l,-1.9890103653069395,0.7373187653182759,1.1882750723333333,7.68667743,0.8971687389607638
AI463229,0.34590197877784734,0.737357349604695,63.96878132333333,50.118470296666665,0.8971458497447644
Med6,0.7474612852163139,0.7374177928514682,1472.7832821,876.8601973666667,0.8971495579126169
Ticam1,0.25197440038335217,0.7376858282493746,342.2122368,287.2112380666667,0.8974058044490602
Zhx3,0.31548809335243144,0.7377777386963627,60.663851789999995,48.55178113333333,0.8974477691488595
Nop58,0.27872561617624586,0.7378198915354526,2058.722066,1696.8677163333334,0.8974292058665209
Bnip5,-2.623325933231242,0.7381257347326559,4.3902971200000005,32.213336,0.8977313538442377
Aasdh,0.34445161246996947,0.7381840004592565,241.15007447000002,189.71916626666666,0.897732366854325
Prrg2,0.09037503079199782,0.7382068706787994,444.74694426666673,417.6805437333333,0.8976903372942518
Tmem203,0.869196625919883,0.73822163038626,678.9654033333334,371.2481600666667,0.8976384523195355
Id3,-0.19750165481502055,0.738296397097277,4282.26019,4910.660939333334,0.8976595350830381
Hyal1,0.09120194149195235,0.7384567709906384,466.2640063666667,437.63957116666666,0.8977846921797208
Kntc1,0.1366239020454354,0.7386081639691233,105.74794789666667,96.10277522333332,0.8978989120393036
Rps23rg1,0.09947362987206536,0.738676439111718,56.71552375666667,52.87013883,0.8979120786807111
Zfp971,-0.028426978495005764,0.7387746755525042,131.93831255,134.58371673333332,0.8979616604635454
Car14,-0.25826388200683914,0.7387789373177256,8384.005388666666,10027.789628666667,0.8978970196107121
Mfap2,-0.1743298974150948,0.7388137159932612,554.1516834666667,625.4554464666667,0.8978694755629503
Asic3,0.5124419491834207,0.7388151004651913,88.80704840566666,61.95786984,0.8978013554669522
Pla2g6,-0.27084729399394536,0.7388365004700665,188.50948961333333,227.64627040000002,0.8977575667636513
Recql,0.16523223924367042,0.7388519490439098,985.0938185999998,878.3836286,0.8977065538674975
Pyroxd2,0.39899189047305816,0.7388523370667535,396.1448360333333,300.1898920666667,0.8976372517247336
Dock11,-0.05724819810074526,0.7389567112933978,1783.2136606666666,1855.4372966666667,0.8976942841553665
Abhd13,0.1842783329721099,0.7389830934034138,871.3668504333333,766.7606481666667,0.897656569240656
Cnih2,-1.6142200945825858,0.7391194989563665,6.669075332999999,22.478571618666667,0.8977524973336674
D6Wsu163e,0.0063029111152870425,0.73935644436326,1098.9855169666664,1094.1903329999998,0.8979705191796516
Cd101,-0.23170554515119482,0.7394585795508417,460.7528665666666,541.2005071666666,0.8980247888244276
Hamp,-0.9544729947445574,0.7396019070852597,2.264043242,5.325296749333333,0.8981290716011261
Aebp1,-2.1721437954937595,0.739631614555837,9.740774279666667,47.407875972,0.8980953753687787
Dok1,-0.04965733910995236,0.7398921523696627,1255.3857433666667,1299.3831944666667,0.8983419476223549
Pip4k2b,-0.07055474327703348,0.7398991393201846,271.4169179,285.0705619666667,0.8982806560554412
Pola1,-0.2418274968367561,0.7399497880186865,273.846719,324.00338719999996,0.8982723777974595
Il1rapl1,-0.043299630618604944,0.7399717301160242,39.956736658666664,41.204604354666664,0.8982292547521609
Filip1l,0.3088661748523893,0.7400794327511742,1178.2702915,950.9965500333333,0.8982902324377701
Mtmr11,0.5089580933079717,0.7402017894534315,352.69157640000003,247.54959743000003,0.8983689860196123
Bcl9,-0.13577766790573584,0.740244849167054,318.5120750666667,350.0430882333333,0.8983514935815389
Ell2,-0.11087360098468062,0.7402686613135384,1255.9468570000001,1356.3542152666666,0.8983106470764629
Tgfb3,-0.6295223631501909,0.7404289617172337,46.91707368000001,73.13023926333334,0.8984354215651358
Mre11a,0.0567163162032614,0.7404735839354197,542.2153634666666,521.2743917333333,0.8984198238371921
Letm2,0.06909653815237467,0.7404823972381493,687.4883126999999,655.2909896666666,0.8983607847896238
Dio3os,-2.3665264833502424,0.7404931075719239,20.452671003000003,109.63099783333332,0.898304056224815
Nfib,0.7051385028013409,0.740537570284584,1393.5357232,854.3853411666665,0.8982882788389207
Slc23a3,3.9583267196881953,0.7407088647469506,132.53790269333334,7.590718251666666,0.8984263416512444
Agfg2,0.029404969809192497,0.7407357494932834,130.70294887333333,128.04575448666665,0.8983892380764674
Ubxn2a,0.3957336170315834,0.7407711133345318,1846.8314540000001,1403.5417929999996,0.8983624231928052
Rbms1,0.5296124385025446,0.7408044252724175,3162.150943666667,2190.243731,0.8983331242384142
