,log2fc,p,fdr
LOC102634078,0.741113719485261,0.2346382402380954,0.7517629275291794
LOC102636360,-1.7518429937314606,0.14475847571299785,0.7517629275291794
LOC102637781,1.3800363006665564,0.42264973081037427,0.7637747757727058
LOC102637792,-0.18127892214703487,0.8623485131132458,0.9492239316384555
LOC102638047,-1.2864985472258723,0.6017276286149178,0.8400715037059406
LOC102639428,2.656308412634337,0.12406474540829075,0.7517629275291794
LOC102639683,1.39079670449462,0.3509042899908047,0.7637747757727058
LOC102640985,-1.9087671549472591,0.42264973081037427,0.7637747757727058
LOC105243553,-1.4424049955908025,0.6734525966983433,0.8722409217442381
LOC105244649,-2.7346789286743753,0.22012422521361077,0.7517629275291794
LOC105244755,-0.7793872635224979,0.7938514391890279,0.921287845773032
LOC105246046,2.7926740459714576,0.017566532526861908,0.7517629275291794
LOC105247076,1.9775999491492238,0.42264973081037427,0.7637747757727058
LOC108168428,-1.3174436950854214,0.7942929141949018,0.9213611513805424
LOC108168645,0.7818094462288677,0.3968255624193365,0.7637747757727058
LOC108168673,1.7734314568040395,0.2223168380670031,0.7517629275291794
LOC108168674,0.1634325319731992,0.7227834580184543,0.8928052474846034
LOC108168713,2.470178322430492,0.42264973081037416,0.7637747757727058
LOC108168889,1.8888683345993524,0.11136343071422285,0.7517629275291794
LOC115486414,-0.3857823638375233,0.9537593321745859,0.9846829615657257
LOC115486416,2.4303647983463095,0.42264973081037427,0.7637747757727058
LOC115486505,-2.4398489262605336,0.24275674591395682,0.7526811094320978
LOC115486538,0.6017495102921608,0.419558678769652,0.7637747757727058
LOC115486846,1.834918131106594,0.19216632600780384,0.7517629275291794
LOC115486880,-0.4688900766405273,0.8770396506435663,0.9560425790923324
LOC115486929,-0.3194952744512948,0.4916073555549453,0.7961743111387087
LOC115487097,-1.3440073808502877,0.7629188954101888,0.9083213472887582
LOC115487153,-1.7592346829410896,0.5059995507512915,0.8019458358813197
LOC115487155,0.05976794839816254,0.4987311218557724,0.799678033955981
LOC115487194,0.6964833742231119,0.8996505098879094,0.964207777434226
LOC115487216,-3.0658479858511383,0.08283057740173949,0.7517629275291794
LOC115487221,2.8141861118443816,0.2472041342600669,0.7535888999043093
LOC115487294,-0.6398218184594269,0.7196982973255996,0.8915407420732754
LOC115487345,-1.6164333064773777,0.42264973081037427,0.7637747757727058
LOC115487747,0.8973905668179724,0.6005682712464385,0.839505176503215
LOC115487771,-0.2386089125990277,0.6539910375640388,0.8635479283467579
LOC115487798,-0.3740692636880849,0.8800593305001316,0.957453540434436
