total_counts,n_genes_by_counts,pct_counts_mt,sample,tissue,condition
4003,2055,0.2747939045715713,GSM8880855,OpticNerve,Sham
19686,5551,0.4927359544854211,GSM8880855,OpticNerve,Sham
4687,2236,0.661403883080862,GSM8880855,OpticNerve,Sham
5342,2564,0.09359790340696368,GSM8880855,OpticNerve,Sham
4354,2149,1.2172714745062012,GSM8880855,OpticNerve,Sham
2416,1513,0.6208609271523179,GSM8880855,OpticNerve,Sham
4070,2121,0.4422604422604423,GSM8880855,OpticNerve,Sham
4353,2242,0.32161727544222374,GSM8880855,OpticNerve,Sham
5597,2629,0.8933357155619082,GSM8880855,OpticNerve,Sham
4439,2233,0.991214237440865,GSM8880855,OpticNerve,Sham
2279,1373,0.307152259763054,GSM8880855,OpticNerve,Sham
3870,1176,1.7312661498708009,GSM8880855,OpticNerve,Sham
3781,1943,0.9521290663845543,GSM8880855,OpticNerve,Sham
