gene,spearman_dpt
Ptk7,0.048708156251638615
Kitl,0.048753139270277225
Frmd6,0.04878732816462723
Gm31243,0.048955691286903524
Gfod2,0.049008444034441365
Kcnq1ot1,0.04911048582175537
Adgrg6,0.04912350500541538
Scap,0.04921787166075352
Arl6,0.049250125216414635
1700085D07Rik,0.0492860939635515
Uggt2,0.049415185097103506
Uba6,0.04942327570150535
Pard3bos3,0.04946401033789438
Ascl4,0.04947781886953321
Ush2a,0.04955099001421915
Gm49625,0.04956301841379356
Rnaseh2a,0.04966738564965339
Samd4,0.0497648444454407
Rhd,0.0497861146289649
Gm16239,0.04980064768110873
Camkmt,0.04980389270510204
Hs3st3b1,0.04980981348853412
Gpm6b,0.04984788959802718
E130308A19Rik,0.050042438288220734
Sult2b1,0.05006237528397997
Slc1a3,0.05010258002362021
Ercc6l2,0.05014866997805487
Tuft1,0.05021628931630852
Pip5k1b,0.05021974446496694
Adcy9,0.05030221361217644
Calml4,0.05033738729420558
Pkd1l3,0.05039202779534392
Alas2,0.050430189952353585
Gm15787,0.050434288092068666
4933425L06Rik,0.05044704970871423
Tmem260,0.050505252377649745
Gm14011,0.05050860412319212
Gm46440,0.05066112087950534
Gm47371,0.050876187097076565
Gm16759,0.05095330138823012
